images\med_7d5c2b99_013.png	carbimazole 5mg
images\med_9b4b4ce2_016.png	Wysolone 5 mg Tablet
images\med_f12eb12e_006.png	RosuvastatinCalcium
images\med_696ae1bd_019.png	Vitamin D3 60000 Iu Capsule
images\med_0f1728cf_021.png	METHYL PREDNISOLONE 4MG TABLET
images\med_ca0a8ab3_024.png	ClindamycinHCl
images\med_cb17285c_006.png	PFIZER INDIA
images\med_a8d76f91_016.png	Mala-D Tablet Tablet
images\med_c4bbc34a_019.png	domperidone 10mg tablet
images\med_0f1728cf_016.png	Methyl Prednisolone 4 mg
images\med_7d5c2b99_025.png	NEOMERCAZOLE 5MG
images\med_89cd823e_018.png	250Mg + 150Mg + 50Mg
images\med_7cbe86e2_027.png	500 mg
images\med_d95c2b97_010.png	USV Pharma
images\med_11787c7d_007.png	FERROUS SULPHATE
images\med_3d1f6924_023.png	MSD India
images\med_d9dc56e0_021.png	Nitrofurantoin
images\med_b8518679_009.png	glimepiride
images\med_ca0a8ab3_030.png	clindamycin 300mg capsule
images\med_933bc2d8_012.png	ORSElectralPowder
images\med_49978219_000.png	5Mg
images\med_e7334590_027.png	DoxycyclineHyclate100mg
images\med_59978ce5_013.png	Benadryl Cough Syrup Syrup
images\med_a9a99c83_023.png	Tamsulosin0.4mg
images\med_a960b0ea_001.png	PHENYTOIN 100MG TABLET
images\med_b8518679_001.png	2 mg
images\med_9d7fdef9_009.png	multivitamin + multiminerals standard
images\med_c0648a4e_028.png	Alendronate70mg
images\med_5d008352_006.png	fluoxetine hcl 20mg
images\med_c6d7e0de_021.png	Lactulose10gSyrupSyrup
images\med_2aefc1e7_000.png	Amoxicillin 500 mg
images\med_b3b2663f_003.png	150 mg + 25 mg
images\med_3b9ad30b_026.png	25 mg
images\med_e37fc85a_010.png	FLUCONAZOLE
images\med_5a6bf418_012.png	eltroxin 50mcg
images\med_c0648a4e_000.png	AlendronicAcid
images\med_06d5617a_000.png	cifran 500mg tablet
images\med_3b9ad30b_012.png	Amitriptyline HCl 25 mg
images\med_ff4cc516_010.png	HuminsulinN100IUInjection
images\med_de61ea08_000.png	Loratadine10mgTablet
images\med_8efa4f6a_026.png	100MCG
images\med_5a6bf418_021.png	Eltroxin 50mcg
images\med_8a5e5f83_000.png	TIMOLOL MALEATE 0.5%
images\med_c4dace63_002.png	Sumatriptan Succinate 50mg
images\med_fed4f81f_025.png	10Mg
images\med_deb81d93_001.png	Betamethasone0.1%
images\med_ca0a8ab3_007.png	clindamycin hcl 300mg
images\med_659bda0a_019.png	WarfarinSodium5mg
images\med_2aefc1e7_011.png	Mox500mg
images\med_289b4229_007.png	400Mg
images\med_018099b1_013.png	Risperidone2mgTablet
images\med_de61ea08_015.png	10MG
images\med_223d0157_020.png	FOLIC ACID 5MG
images\med_0f1728cf_023.png	methylprednisolone 4mg
images\med_d7548961_017.png	gabapentin
images\med_e0edd5c4_015.png	cefixime
images\med_ee8e2396_000.png	200MG
images\med_dfe5d351_016.png	Lariago250mg
images\med_fed4f81f_014.png	BoehringerIngelheim
images\med_7d0f40c9_025.png	Norflox 400 mg Tablet
images\med_9cb4a48b_025.png	Montelukast 10mg
images\med_289b4229_005.png	Zentel 400 mg
images\med_635f0b97_000.png	CIPLA
images\med_22377fd2_010.png	Aspirin 75Mg
images\med_7f6dd7f5_026.png	Ibuprofen400mg
images\med_5a94c15f_016.png	Clotrimazole 1% Cream Cream
images\med_ee8e2396_006.png	artesunate 200mg
images\med_2291c346_019.png	cremaffin syrup
images\med_d7548961_008.png	Gabapentin 300Mg Capsule
images\med_cb7204d4_027.png	Duphaston 10Mg
images\med_c4bbc34a_009.png	Domperidone10mgTablet
images\med_933bc2d8_025.png	OralRehydrationSaltsStandardWHOFormula
images\med_64f45aaa_013.png	FUROSEMIDE
images\med_8f908c02_010.png	100 IU/ml
images\med_7cbe86e2_028.png	Paracetamol 500 mg
images\med_35bc51a1_024.png	Aristo Pharma
images\med_635f0b97_024.png	N-Acetylcysteine 600 mg
images\med_be0f137d_008.png	shelcal 500mg
images\med_933bc2d8_001.png	Oral Rehydration Salts Standard WHO Formula
images\med_f162e9c8_027.png	OLSAR 20MG
images\med_ecd67f3a_001.png	JOHNSON & JOHNSON INDIA
images\med_c126403b_019.png	Donepezil 5mg
images\med_9d7fdef9_011.png	Multivitamin + Multiminerals
images\med_c4bbc34a_020.png	Domperidone 10 mg Tablet
images\med_3d1f6924_017.png	NEUROBION FORTE
images\med_5a94c15f_004.png	Bayer India
images\med_e93a0754_000.png	Paracetamol650mg
images\med_2d223f42_028.png	Terbinafine HCl 250mg
images\med_5a6bf418_026.png	Eltroxin 50 mcg
images\med_c6d7e0de_019.png	Lactulose 10 g Syrup Syrup
images\med_f12eb12e_009.png	rosuvastatin 10mg tablet
images\med_63bdcdad_008.png	Moxifloxacin HCl 0.5%
images\med_7d5c2b99_008.png	5 mg
images\med_289b4229_009.png	Albendazole 400mg
images\med_b65b6f2d_028.png	Atorvastatin Calcium
images\med_b65b6f2d_010.png	ATORVASTATIN CALCIUM 10MG
images\med_5a94c15f_011.png	CLOTRIMAZOLE 1% CREAM
images\med_e93a0754_027.png	Dolo 650 mg Tablet
images\med_dfe5d351_018.png	250 mg
images\med_febe41f1_024.png	SertralineHCl
images\med_7c3ed740_020.png	metoprolol succinate 25mg
images\med_696ae1bd_007.png	sun pharma
images\med_2aefc1e7_016.png	amoxicillin
images\med_cb17285c_017.png	ALUMINIUM HYDROXIDE + MAGNESIUM HYDROXIDE + SIMETHICONE
images\med_c4bbc34a_012.png	cipla
images\med_ecd67f3a_013.png	tretinoin
images\med_c6d7e0de_024.png	Lactulose 10G Syrup Syrup
images\med_fed4f81f_016.png	10 mg
images\med_49978219_004.png	Ramipril 5mg
images\med_7cbe86e2_005.png	Crocin 500mg
images\med_0b20efea_002.png	100Mg
images\med_5d008352_028.png	Fluoxetine HCl 20mg
images\med_1bffb35a_004.png	Metformin 500 mg
images\med_99374b8f_020.png	325mg
images\med_659bda0a_026.png	Sun Pharma
images\med_3b9ad30b_019.png	Amitriptyline 25Mg Tablet
images\med_97e744bf_013.png	Cetirizine 10mg Tablet
images\med_6678f79a_010.png	ALLEGRA 120MG TABLET
images\med_f12eb12e_000.png	rosuvastatin calcium 10mg
images\med_7c8a8df6_014.png	metronidazole 400mg
images\med_0b20efea_016.png	100mg
images\med_deb81d93_020.png	Betnesol Eye Drop
images\med_2ae45ccf_019.png	Amlodipine Besylate 5mg
images\med_696ae1bd_010.png	60000 IU
images\med_8b4252b2_015.png	itraconazole
images\med_635f0b97_022.png	600MG
images\med_cb17285c_007.png	Pfizer India
images\med_f9979576_006.png	Tramadol 50mg Tablet
images\med_db966d24_011.png	25mcg+250mcg
images\med_7d5c2b99_019.png	Neomercazole 5Mg
images\med_223d0157_018.png	5MG
images\med_d7548961_020.png	Sun Pharma
images\med_54eb2f38_012.png	IBUPROFEN + PARACETAMOL
images\med_a960b0ea_022.png	Phenytoin Sodium 100 mg
images\med_54eb2f38_020.png	Sanofi India
images\med_ca0a8ab3_002.png	Clindamycin Hcl
images\med_294952e4_003.png	GRILINCTUS SYRUP SYRUP
images\med_7cbe86e2_018.png	Crocin500mgTablet
images\med_2aefc1e7_005.png	Mox 500Mg Capsule
images\med_97e744bf_022.png	10MG
images\med_2ae45ccf_018.png	Amlodipine Besylate 5 mg
images\med_2aefc1e7_013.png	500Mg
images\med_c0648a4e_013.png	Alendronate 70Mg
images\med_7d0f40c9_009.png	Norflox 400Mg Tablet
images\med_2ae45ccf_014.png	Amlodipine 5Mg Tablet
images\med_7dad208c_001.png	Omeprazole 20Mg
images\med_5a846311_023.png	Oseltamivir Phosphate 75Mg
images\med_635f0b97_018.png	Mucinac 600mg
images\med_9cb4a48b_009.png	Montair 10mg
images\med_cb17285c_019.png	Gelusil Mps Tablet
images\med_7dad208c_028.png	20 mg
images\med_8c9c87eb_000.png	Sudafed PE
images\med_febe41f1_028.png	Sertraline 50Mg Tablet
images\med_7cbe86e2_003.png	crocin 500mg tablet
images\med_f162e9c8_011.png	20mg
images\med_cc016fbc_028.png	Azithral500mg
images\med_22377fd2_025.png	Aspirin 75 mg
images\med_7cbe86e2_004.png	Crocin 500Mg Tablet
images\med_294952e4_010.png	Compound
images\med_3b9ad30b_027.png	Sun Pharma
images\med_8b4252b2_006.png	100 mg
images\med_c0648a4e_001.png	CIPLA
images\med_3b9ad30b_017.png	AMITRIPTYLINE HCL
images\med_81d90895_008.png	CALCIROL 60000 IU
images\med_018099b1_022.png	JanssenIndia
images\med_f12eb12e_027.png	Rosuvastatin 10mg
images\med_68cbc105_024.png	Augmentin 625 mg
images\med_168cba08_018.png	PHENERGAN 25MG TABLET
images\med_99374b8f_000.png	disprin 325mg
images\med_294952e4_001.png	GRILINCTUS SYRUP
images\med_dfe5d351_008.png	Ipca Laboratories
images\med_06d5617a_017.png	Cifran500mgTablet
images\med_deb81d93_009.png	BetnesolEyeDropEyeDrop
images\med_8c9c87eb_019.png	SudafedPETablet
images\med_0f285d70_003.png	Betnovate Cream Cream
images\med_cc016fbc_009.png	AZITHROMYCIN 500MG
images\med_9d7fdef9_018.png	MULTIVITAMIN + MULTIMINERALS STANDARD
images\med_9b4b4ce2_012.png	Wysolone5mg
images\med_280c681a_014.png	LEVONORGESTREL 1.5MG
images\med_5a846311_025.png	oseltamivir 75mg capsule
images\med_7d5c2b99_001.png	CARBIMAZOLE
images\med_e0edd5c4_002.png	Cefixime
images\med_933bc2d8_023.png	OralRehydrationSalts
images\med_cb17285c_018.png	aluminium hydroxide + magnesium hydroxide + simethicone
images\med_289b4229_026.png	ZENTEL 400MG TABLET
images\med_0f285d70_013.png	BetnovateCream
images\med_befd0233_029.png	calcium carbonate 500mg
images\med_635f0b97_014.png	cipla
images\med_5d008352_005.png	Fluoxetine HCl 20 mg
images\med_5a846311_029.png	RocheIndia
images\med_cc016fbc_001.png	azithral 500mg tablet
images\med_8f908c02_005.png	lantus 100iu injection
images\med_49978219_011.png	ramipril 5mg tablet
images\med_c126403b_017.png	Cipla
images\med_db966d24_005.png	Salmeterol + Fluticasone
images\med_64f45aaa_021.png	SANOFI INDIA
images\med_5d008352_010.png	Fluoxetine 20 mg Capsule
images\med_0f1728cf_019.png	Methyl Prednisolone 4 mg Tablet
images\med_3b9ad30b_000.png	Amitriptyline 25Mg
images\med_34c88a9e_011.png	100 mg
images\med_25d144ba_018.png	4MG
images\med_9d7fdef9_004.png	Revital Capsule Capsule
images\med_e0edd5c4_013.png	MankindPharma
images\med_68cbc105_025.png	amoxicillin + clavulanate 625mg
images\med_ee8e2396_022.png	Artesunate 200mg
images\med_9cb4a48b_024.png	MONTELUKAST
images\med_2ae45ccf_002.png	Amlodipine 5mg Tablet
images\med_64f45aaa_017.png	Furosemide40mgTablet
images\med_c4dace63_022.png	sumatriptan 50mg tablet
images\med_659bda0a_028.png	WARFARIN SODIUM 5MG
images\med_280c681a_006.png	i-pill 1.5mg tablet
images\med_34c88a9e_029.png	MSD India
images\med_018099b1_007.png	Risperidone 2mg Tablet
images\med_289b4229_018.png	gsk india
images\med_b8518679_014.png	Glimepiride 2Mg Tablet
images\med_d9dc56e0_011.png	nitrofurantoin 100mg
images\med_7d0f40c9_026.png	norflox 400mg
images\med_8c9c87eb_012.png	johnson & johnson india
images\med_0133a0cb_027.png	Losartan 50Mg
images\med_68cbc105_000.png	Augmentin625mg
images\med_294952e4_004.png	Dextromethorphan + Chlorpheniramine Compound
images\med_e37fc85a_021.png	Cipla
images\med_280c681a_010.png	I-Pill 1.5 mg
images\med_c0648a4e_022.png	Alendronate 70mg
images\med_cb7204d4_019.png	10MG
images\med_0f1728cf_026.png	MethylPrednisolone4mgTablet
images\med_febe41f1_000.png	50MG
images\med_e37fc85a_018.png	FLUCONAZOLE 150MG CAPSULE
images\med_6678f79a_023.png	Allegra 120Mg
images\med_0b20efea_005.png	nimesulide 100mg
images\med_b8518679_019.png	Glimepiride 2mg Tablet
images\med_2291c346_006.png	CremaffinSyrupSyrup
images\med_e93a0754_015.png	650Mg
images\med_35bc51a1_000.png	Pantop 40 mg Tablet
images\med_59978ce5_004.png	PFIZER INDIA
images\med_0133a0cb_025.png	losartan 50mg
images\med_c4bbc34a_021.png	10Mg
images\med_49978219_007.png	ramipril 5mg
images\med_e93a0754_016.png	paracetamol
images\med_5a6bf418_006.png	50Mcg
images\med_5a6bf418_029.png	Eltroxin 50Mcg Tablet
images\med_cb17285c_003.png	Standard
images\med_fed4f81f_006.png	10mg
images\med_ff4cc516_006.png	Eli Lilly India
images\med_43698167_018.png	Sun Pharma
images\med_7cbe86e2_001.png	PARACETAMOL
images\med_d7548961_006.png	gabapentin 300mg
images\med_63bdcdad_020.png	Sun Pharma
images\med_1bffb35a_021.png	METFORMIN 500MG TABLET
images\med_81d90895_003.png	Cholecalciferol 60000 Iu
images\med_5a846311_015.png	Oseltamivir 75mg
images\med_7c3ed740_013.png	metoprolol 25mg tablet
images\med_ecd67f3a_005.png	Tretinoin 0.025%
images\med_99374b8f_021.png	DISPRIN 325MG EFFERVESCENT TABLET
images\med_a9a99c83_022.png	TamsulosinHCl0.4mg
images\med_ee8e2396_014.png	FALCIGO 200MG TABLET
images\med_8b4252b2_013.png	Itraconazole 100 mg
images\med_ee8e2396_019.png	Falcigo 200mg
images\med_c0648a4e_002.png	AlendronicAcid70mg
images\med_7cbe86e2_013.png	500MG
images\med_7dad208c_013.png	Dr.Reddy's
images\med_5a6bf418_016.png	levothyroxine
images\med_f9979576_025.png	50mg
images\med_8f908c02_022.png	Lantus 100 IU Injection
images\med_2aefc1e7_015.png	Mox 500mg
images\med_dfe5d351_015.png	250mg
images\med_3a1940c1_010.png	Ranitidine 150Mg
images\med_7f6dd7f5_016.png	Brufen 400 mg
images\med_99374b8f_014.png	aspirin 325mg
images\med_2d223f42_012.png	NOVARTIS INDIA
images\med_cc016fbc_003.png	ALEMBIC PHARMA
images\med_8f908c02_011.png	INSULIN GLARGINE 100 IU/ML
images\med_7f6dd7f5_015.png	Brufen 400Mg Tablet
images\med_22377fd2_004.png	ASPIRIN
images\med_c6d7e0de_020.png	Solvay Pharma India
images\med_1bffb35a_018.png	USV PHARMA
images\med_c4dace63_025.png	SUMATRIPTAN SUCCINATE
images\med_0f1728cf_009.png	4 mg
images\med_7c3ed740_018.png	Astrazeneca India
images\med_de61ea08_008.png	Loratadine 10Mg Tablet
images\med_97e744bf_005.png	Cetirizine10mgTablet
images\med_fed4f81f_005.png	Jardiance 10Mg
images\med_8fb8564a_006.png	salbutamol
images\med_e93a0754_021.png	dolo 650mg
images\med_9cb4a48b_010.png	montair 10mg tablet
images\med_4bd10aff_012.png	50Mg
images\med_c4c13132_005.png	digoxin 0.25mg
images\med_5a6bf418_017.png	Levothyroxine50mcg
images\med_fed4f81f_026.png	jardiance 10mg tablet
images\med_659bda0a_029.png	warfarin 5mg
images\med_2d223f42_000.png	TERBINAFINE 250MG
images\med_8fb8564a_015.png	AsthalinInhaler
images\med_f162e9c8_019.png	olsar 20mg
images\med_2aefc1e7_027.png	amoxicillin 500mg
images\med_b65b6f2d_019.png	Atorvastatin10mg
images\med_cc016fbc_022.png	azithral 500mg
images\med_7c3ed740_007.png	Metoprolol 25Mg Tablet
images\med_e7334590_015.png	Doxycycline 100mg
images\med_a9a99c83_026.png	tamsulosin hcl
images\med_738912bb_020.png	OLANZAPINE 5MG
images\med_7d0f40c9_000.png	Norfloxacin 400 mg
images\med_8c9c87eb_017.png	10 mg
images\med_0f285d70_021.png	betnovate cream
images\med_da56c31b_001.png	Clonazepam 0.5mg Tablet
images\med_befd0233_002.png	Calcium Sandoz 500 mg
images\med_3a1940c1_003.png	Ranitidine 150 mg Tablet
images\med_cb17285c_009.png	gelusil mps
images\med_54eb2f38_025.png	CombiflamTabletTablet
images\med_99374b8f_023.png	Disprin 325mg
images\med_3b9ad30b_007.png	Amitriptyline25mgTablet
images\med_1bffb35a_005.png	Metformin HCl 500mg
images\med_deb81d93_019.png	betamethasone
images\med_a9a99c83_014.png	Tamsulosin HCl 0.4mg
images\med_635f0b97_009.png	Mucinac600mg
images\med_97e744bf_028.png	Cetirizine 10 mg Tablet
images\med_2d223f42_010.png	Terbinafine 250Mg
images\med_8b4252b2_011.png	GLENMARK
images\med_ff4cc516_025.png	Insulin Isophane (Nph) 100 Iu/Ml
images\med_81d90895_014.png	CadilaHealthcare
images\med_c4bbc34a_014.png	Domperidone
images\med_a960b0ea_012.png	Phenytoin 100 mg Tablet
images\med_c0648a4e_016.png	Alendronate 70mg Tablet
images\med_2291c346_011.png	CREMAFFIN SYRUP
images\med_f162e9c8_008.png	daiichi sankyo
images\med_a960b0ea_028.png	Phenytoin 100mg Tablet
images\med_f9979576_009.png	SunPharma
images\med_ca0a8ab3_019.png	300 mg
images\med_ca0a8ab3_016.png	CLINDAMYCIN HCL 300MG
images\med_21924655_016.png	Dexamethasone
images\med_99374b8f_012.png	Reckitt Benckiser India
images\med_8c9c87eb_018.png	PHENYLEPHRINE 10MG
images\med_7dad208c_012.png	Dr. Reddy'S
images\med_59978ce5_020.png	Diphenhydramine+AmmoniumChloride+SodiumCitrateCompound
images\med_933bc2d8_005.png	ORS Electral Powder
images\med_8efa4f6a_011.png	100Mcg
images\med_d9dc56e0_009.png	100 mg
images\med_4bd10aff_024.png	VILDAGLIPTIN 50MG
images\med_c4dace63_003.png	Sumatriptan50mgTablet
images\med_c0648a4e_008.png	alendronate 70mg tablet
images\med_018099b1_018.png	Janssen India
images\med_7c3ed740_003.png	Metoprolol 25 mg
images\med_febe41f1_019.png	Sertraline 50 mg Tablet
images\med_c4dace63_005.png	Sumatriptan 50Mg
images\med_b65b6f2d_027.png	ATORVASTATIN 10MG TABLET
images\med_2291c346_008.png	abbott india
images\med_933bc2d8_006.png	ORAL REHYDRATION SALTS
images\med_cc016fbc_005.png	AZITHROMYCIN
images\med_8c9c87eb_009.png	SudafedPE
images\med_289b4229_012.png	ALBENDAZOLE 400MG
images\med_21924655_011.png	DEXAMETHASONE 0.5MG TABLET
images\med_db3d2896_003.png	diclofenac sodium
images\med_8efa4f6a_009.png	Levothyroxine 100mcg
images\med_2291c346_015.png	Cremaffin Syrup
images\med_febe41f1_023.png	50mg
images\med_d9dc56e0_001.png	Nitrofurantoin 100mg
images\med_06d5617a_005.png	sun pharma
images\med_a9a99c83_008.png	Tamsulosin0.4mgCapsule
images\med_89cd823e_003.png	Paracetamol+Propyphenazone+Caffeine
images\med_ff4cc516_030.png	Huminsulin N 100Iu
images\med_5a6bf418_009.png	50MCG
images\med_7c3ed740_021.png	metoprolol succinate
images\med_9b4b4ce2_007.png	WYSOLONE 5MG TABLET
images\med_c4c13132_003.png	Digoxin 0.25 mg Tablet
images\med_9cb4a48b_005.png	Montair 10mg Tablet
images\med_0133a0cb_012.png	Dr. Reddy'S
images\med_64f45aaa_019.png	40MG
images\med_5a6bf418_007.png	GSK INDIA
images\med_ecd67f3a_012.png	RETINO-A 0.025% CREAM
images\med_0b20efea_010.png	NIMESULIDE 100MG TABLET
images\med_2ae45ccf_006.png	AMLODIPINE 5MG
images\med_6678f79a_003.png	Fexofenadine 120Mg
images\med_8efa4f6a_012.png	abbott india
images\med_d9dc56e0_004.png	Nitrofurantoin 100mg Capsule
images\med_cb7204d4_007.png	duphaston 10mg
images\med_c4c13132_007.png	Digoxin0.25mgTablet
images\med_7c3ed740_028.png	METOPROLOL 25MG
images\med_d9dc56e0_019.png	NITROFURANTOIN
images\med_2291c346_021.png	Liquid Paraffin + Milk Of Magnesia
images\med_0f1728cf_027.png	Methyl Prednisolone 4mg Tablet
images\med_0133a0cb_007.png	Losartan50mgTablet
images\med_81d90895_013.png	Calcirol 60000 IU
images\med_49978219_008.png	AVENTIS PHARMA
images\med_cb7204d4_001.png	Dydrogesterone 10Mg
images\med_c0648a4e_026.png	ALENDRONIC ACID 70MG
images\med_0f1728cf_010.png	Methylprednisolone 4Mg
images\med_06d5617a_003.png	Cifran 500mg Tablet
images\med_ff4cc516_027.png	Insulin Isophane (Nph)
images\med_280c681a_015.png	Levonorgestrel
images\med_e37fc85a_017.png	Fluconazole
images\med_0abbc03e_009.png	Alprazolam 0.5Mg Tablet
images\med_35bc51a1_027.png	Pantoprazole
images\med_dfe5d351_010.png	Lariago 250Mg
images\med_c4bbc34a_002.png	10mg
images\med_9b4b4ce2_011.png	PFIZER INDIA
images\med_22377fd2_026.png	75Mg
images\med_db3d2896_021.png	voveran 50mg tablet
images\med_7cbe86e2_019.png	gsk india
images\med_97e744bf_014.png	CetirizineHCl10mg
images\med_0b20efea_006.png	Nimesulide
images\med_7dad208c_010.png	Dr. Reddy's
images\med_b8518679_004.png	Glimepiride 2mg
images\med_4bd10aff_003.png	Galvus 50Mg Tablet
images\med_c6d7e0de_010.png	LACTULOSE 10G/15ML
images\med_7d5c2b99_026.png	5mg
images\med_9cb4a48b_023.png	10MG
images\med_97e744bf_003.png	10mg
images\med_8a5e5f83_008.png	0.5%
images\med_3d1f6924_014.png	MSDIndia
images\med_f12eb12e_016.png	ROSUVASTATIN 10MG
images\med_9d7fdef9_019.png	multivitamin + multiminerals
images\med_be0f137d_007.png	CalciumCarbonate+VitaminD3500mg+250IU
images\med_63bdcdad_002.png	MOXIFLOXACIN EYE DROP EYE DROP
images\med_d9dc56e0_000.png	100MG
images\med_ca0a8ab3_004.png	Clindamycin 300 mg
images\med_06d5617a_026.png	500 mg
images\med_cc016fbc_025.png	Azithromycin 500Mg
images\med_a8d76f91_018.png	mala-d tablet tablet
images\med_7cbe86e2_025.png	PARACETAMOL 500MG
images\med_97e744bf_001.png	Cetirizine Hcl
images\med_35bc51a1_023.png	Pantop 40 mg
images\med_9d7fdef9_002.png	Multivitamin + Multiminerals Standard
images\med_da56c31b_011.png	Clonazepam 0.5 mg
images\med_db3d2896_008.png	NovartisIndia
images\med_a960b0ea_026.png	PHENYTOIN SODIUM
images\med_9b4b4ce2_003.png	Prednisolone 5Mg
images\med_635f0b97_023.png	600 mg
images\med_f162e9c8_020.png	Olsar 20Mg Tablet
images\med_289b4229_017.png	zentel 400mg tablet
images\med_b8518679_007.png	Glimepiride 2 mg Tablet
images\med_0133a0cb_003.png	Losartan Potassium 50 mg
images\med_c6d7e0de_000.png	Lactulose 10G Syrup
images\med_e7334590_012.png	Doxycycline 100Mg
images\med_3b9ad30b_015.png	Amitriptyline Hcl
images\med_cb17285c_022.png	aluminium hydroxide + magnesium hydroxide + simethicone standard
images\med_294952e4_000.png	Dextromethorphan + Chlorpheniramine
images\med_7f6dd7f5_009.png	IBUPROFEN
images\med_8efa4f6a_019.png	levothyroxine 100mcg
images\med_cc016fbc_012.png	Azithromycin 500 mg
images\med_be0f137d_001.png	calcium carbonate + vitamin d3
images\med_696ae1bd_005.png	CHOLECALCIFEROL
images\med_c4dace63_029.png	Sumatriptan50mg
images\med_a960b0ea_020.png	100mg
images\med_9b1b6f11_007.png	ACYCLOVIR
images\med_db3d2896_024.png	VOVERAN 50MG
images\med_5d008352_000.png	Fluoxetine HCl
images\med_dfe5d351_027.png	LARIAGO 250MG TABLET
images\med_b3b2663f_023.png	150Mg + 25Mg
images\med_e7334590_002.png	DOXYCYCLINE 100MG
images\med_9b1b6f11_021.png	Acyclovir 400Mg Tablet
images\med_c6d7e0de_009.png	SOLVAY PHARMA INDIA
images\med_fed4f81f_012.png	JARDIANCE 10MG
images\med_7cbe86e2_007.png	Paracetamol 500mg
images\med_35bc51a1_025.png	Pantoprazole 40Mg
images\med_8b4252b2_000.png	Itraconazole
images\med_3b9ad30b_029.png	25mg
images\med_11787c7d_016.png	Cipla
images\med_b65b6f2d_009.png	SunPharma
images\med_b3b2663f_001.png	ETOFYLLINE + THEOPHYLLINE
images\med_1bffb35a_009.png	Metformin 500Mg
images\med_81d90895_018.png	Cholecalciferol60000IU
images\med_68cbc105_014.png	Augmentin 625Mg
images\med_8fb8564a_016.png	AsthalinInhalerInhaler
images\med_db3d2896_009.png	Diclofenac Sodium
images\med_c4c13132_002.png	digoxin
images\med_81d90895_007.png	CHOLECALCIFEROL 60000 IU
images\med_8a5e5f83_020.png	TimololMaleate
images\med_fed4f81f_010.png	EMPAGLIFLOZIN 10MG
images\med_be0f137d_003.png	shelcal 500mg tablet
images\med_5d008352_001.png	CIPLA
images\med_9b1b6f11_019.png	400mg
images\med_018099b1_003.png	janssen india
images\med_7d5c2b99_022.png	Abbott India
images\med_cb7204d4_020.png	duphaston 10mg tablet
images\med_be0f137d_015.png	Shelcal 500 mg
images\med_7dad208c_011.png	Omez 20mg
images\med_3d1f6924_020.png	Neurobion Forte Tablet
images\med_2aefc1e7_022.png	mox 500mg capsule
images\med_223d0157_015.png	folic acid 5mg tablet
images\med_35bc51a1_006.png	Pantop 40Mg
images\med_7d5c2b99_015.png	neomercazole 5mg
images\med_d7548961_021.png	300MG
images\med_be0f137d_026.png	Calcium Carbonate + Vitamin D3
images\med_89cd823e_005.png	Paracetamol + Propyphenazone + Caffeine 250 mg + 150 mg + 50 mg
images\med_e93a0754_018.png	Dolo 650mg
images\med_6678f79a_000.png	120 mg
images\med_7c3ed740_016.png	MetoprololSuccinate25mg
images\med_cb17285c_012.png	GelusilMPS
images\med_c6d7e0de_013.png	10 g/15 ml
images\med_8c9c87eb_023.png	Sudafed Pe Tablet
images\med_35bc51a1_017.png	PANTOPRAZOLE
images\med_d7548961_015.png	Gabapentin300mg
images\med_dfe5d351_029.png	Chloroquine Phosphate
images\med_e37fc85a_009.png	Fluconazole 150Mg
images\med_febe41f1_013.png	sertraline hcl
images\med_223d0157_003.png	FolicAcid5mgTablet
images\med_8b4252b2_002.png	Itraconazole 100Mg Capsule
images\med_89cd823e_011.png	Paracetamol+Propyphenazone+Caffeine250mg+150mg+50mg
images\med_e93a0754_004.png	Dolo650mgTablet
images\med_a960b0ea_015.png	Phenytoin 100Mg Tablet
images\med_f9979576_023.png	Tramadol Hcl 50Mg
images\med_018099b1_017.png	RISPERIDONE 2MG TABLET
images\med_59978ce5_001.png	PfizerIndia
images\med_280c681a_013.png	levonorgestrel 1.5mg
images\med_3a1940c1_027.png	ranitidine hcl
images\med_f12eb12e_018.png	Rosuvastatin Calcium 10mg
images\med_5a846311_019.png	oseltamivir 75mg
images\med_8efa4f6a_010.png	Levothyroxine
images\med_3d1f6924_008.png	B1 + B6 + B12 COMPLEX STANDARD
images\med_ca0a8ab3_014.png	Pfizer India
images\med_4bd10aff_017.png	50 mg
images\med_fed4f81f_007.png	EMPAGLIFLOZIN
images\med_3a1940c1_017.png	Ranitidine HCl 150mg
images\med_0b20efea_007.png	nimesulide
images\med_c126403b_025.png	donepezil 5mg tablet
images\med_cc016fbc_007.png	AlembicPharma
images\med_f162e9c8_017.png	Olmesartan 20mg
images\med_7cbe86e2_023.png	Crocin 500Mg
images\med_8a5e5f83_001.png	TIMOLOL 0.5% EYE DROP EYE DROP
images\med_e37fc85a_014.png	fluconazole 150mg capsule
images\med_659bda0a_014.png	SunPharma
images\med_de61ea08_021.png	loratadine 10mg tablet
images\med_dfe5d351_019.png	250Mg
images\med_2171bf1c_004.png	PREGABALIN 75MG CAPSULE
images\med_06d5617a_015.png	Ciprofloxacin 500mg
images\med_7cbe86e2_014.png	500Mg
images\med_c0648a4e_006.png	alendronate 70mg
images\med_cb7204d4_022.png	dydrogesterone 10mg
images\med_7f6dd7f5_013.png	ABBOTT INDIA
images\med_659bda0a_004.png	Warfarin5mg
images\med_fed4f81f_009.png	Jardiance 10mg
images\med_1bffb35a_025.png	METFORMIN 500MG
images\med_db3d2896_004.png	Voveran50mg
images\med_be0f137d_011.png	CALCIUM CARBONATE + VITAMIN D3
images\med_22377fd2_019.png	Ecosprin 75 mg
